Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,f,Not defined,POINT,780.767,780.767,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,23423,23423,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,t,Not defined,POINT,820.000,820.000,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,24600,24600,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,q,Not defined,POINT,865.567,865.567,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,25967,25967,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,g,Not defined,POINT,867.233,867.233,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,26017,26017,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,v,Not defined,POINT,872.433,872.433,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,26173,26173,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,t,Not defined,POINT,882.133,882.133,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,26464,26464,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,q,Not defined,POINT,963.067,963.067,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,28892,28892,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,g,Not defined,POINT,967.567,967.567,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,29027,29027,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,v,Not defined,POINT,970.233,970.233,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,29107,29107,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,t,Not defined,POINT,976.300,976.300,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,29289,29289,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,q,Not defined,POINT,1021.400,1021.400,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,30642,30642,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,g,Not defined,POINT,1024.233,1024.233,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,30727,30727,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,v,Not defined,POINT,1026.567,1026.567,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,30797,30797,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,t,Not defined,POINT,1052.300,1052.300,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,31569,31569,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,i,Not defined,POINT,1069.600,1069.600,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,32088,32088,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,w,Not defined,POINT,1071.867,1071.867,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,32156,32156,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,c,Not defined,POINT,1077.100,1077.100,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,32313,32313,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,t,Not defined,POINT,1105.667,1105.667,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,33170,33170,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,i,Not defined,POINT,1138.333,1138.333,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,34150,34150,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,w,Not defined,POINT,1152.300,1152.300,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,34569,34569,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,c,Not defined,POINT,1154.333,1154.333,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,34630,34630,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,t,Not defined,POINT,1169.400,1169.400,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,35082,35082,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,q,Not defined,POINT,1175.800,1175.800,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,35274,35274,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,g,Not defined,POINT,1180.433,1180.433,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,35413,35413,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,v,Not defined,POINT,1183.767,1183.767,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,35513,35513,,,,
0725-11B PFC+NAc DAsensor baseline,2025-08-29 17:02:49.089,,Media file,player #1:E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,0.0,1015.633,1838.200,30.000,No focal subject,0.0,t,Not defined,POINT,1193.933,1193.933,NA,E:/2025_08_25 0725-11B PFC+NAc DAsensor baseline/2025_08_25 0725-11B PFC+NAc DAsensor baseline.mp4,35818,35818,,,,
