Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
,,,,,,,,,,,t,,,1158.033,1158.033,,,,,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,q,Not defined,POINT,1161.033,1161.033,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,34831,34831,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,g,Not defined,POINT,1167.567,1167.567,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,35027,35027,R,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,v,Not defined,POINT,1175.2,1175.2,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,35256,35256,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,t,Not defined,POINT,1185.233,1185.233,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,35557,35557,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,i,Not defined,POINT,1194.367,1194.367,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,35831,35831,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,w,Not defined,POINT,1196.367,1196.367,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,35891,35891,L,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,c,Not defined,POINT,1201.267,1201.267,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,36038,36038,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,t,Not defined,POINT,1208.333,1208.333,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,36250,36250,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,i,Not defined,POINT,1221.5,1221.5,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,36645,36645,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,w,Not defined,POINT,1226.433,1226.433,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,36793,36793,L,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,c,Not defined,POINT,1229.667,1229.667,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,36890,36890,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,t,Not defined,POINT,1239.233,1239.233,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,37177,37177,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,q,Not defined,POINT,1248.8,1248.8,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,37464,37464,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,g,Not defined,POINT,1255.567,1255.567,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,37667,37667,R,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,v,Not defined,POINT,1259.467,1259.467,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,37784,37784,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,t,Not defined,POINT,1271.8,1271.8,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,38154,38154,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,i,Not defined,POINT,1276,1276,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,38280,38280,,,,
0725-5A PFC+NAc DAsensor baseline,32:59.0,,Media file,player #1:E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,0,1345.767,2545.7,30,No focal subject,0,w,Not defined,POINT,1276.733,1276.733,NA,E:/DA sensor PFC +NAC/2025_08_25 0725-5A PFC+NAc DAsensor baseline/0725-5A PFC+NAc DAsensor baseline.mp4,38302,38302,L,,,
